Process Date,Buyer,Supplier,CIN,Item Desc,DC,RCA,Blocked Qty,Short Qty,Order Qty,PROCESS_DATE,BUYER_NUMBER,SUPPLIER_NUM,CIN_DESC,BLOCKED_QTY,SHORT_QTY,ORDER_QTY
2025-02-17,648,,5811708,NASONEX SN 50MCG 10ML 24HR ALG,28,Product in Blocked - FDC,48,1,1,,,,,,,
2025-02-17,645,,5582085,HIMALAYAN NETI SALT PK 60,64,Product in Blocked - FDC,48,1,1,,,,,,,
2025-02-17,602,,3334042,TRI-LUMA CR 0.01-4-0.05% 30GM,64,Product in Quarantine - FDC,47,3,3,,,,,,,
2025-02-17,633,,2728731,LIDOCAINE HCL SF 2% 10X5ML,8,Product in Blocked - FDC,45,7,7,,,,,,,
2025-02-17,625,,5305768,TROSPIUM CHLORIDE TB 20MG 60,16,Product in Blocked - FDC,43,8,8,,,,,,,
2025-02-17,641,,5789243,LDR TM COQ-10 GC 100MG 108 SFG,8,Product in Blocked - FDC,41,3,3,,,,,,,
2025-02-17,640,,5822887,DEXCOM G7 SENSOR KT,16,Product in Blocked - FDC,40,5,5,,,,,,,
2025-02-17,625,,5588355,SEVELAMER CARBONATE TB800MG5X10UD,19,Product in Blocked - FDC,36,2,2,,,,,,,
2025-02-17,628,,4809851,LAMOTRIGINE ER TB 250MG 30,19,Product in Blocked - FDC,36,5,5,,,,,,,
2025-02-17,617,,5911300,VASOPRESSIN IP 20U/100ML 12X100ML,26,Product in Blocked - FDC,36,4,4,,,,,,,
2025-02-17,647,,1136688,BD SHARPS COLL 1.5QT PHLEB,26,Product in Blocked - FDC,33,1,1,,,,,,,
2025-02-17,627,,3926722,HEPARIN IV FLUSH SY 10U60X5ML PFL,43,Product in Blocked - FDC,32,6,6,,,,,,,
2025-02-17,601,,5494018,XYOSTED SY 100MG/0.5ML 4X0.5ML C3,64,Product in Quarantine - FDC,31,1,1,,,,,,,
2025-02-17,625,,5850482,PANTOPRAZOLE SOD PK40MG30UD DR EC,16,Product in Blocked - FDC,29,1,1,,,,,,,
2025-02-17,606,,4827168,NEBUSAL AH 3% 60X4MLUD INH,8,Product in Blocked - FDC,27,1,1,,,,,,,
2025-02-17,613,,5654447,INS LYUMJEV MD 100U/ML 10ML,64,Product in Blocked - FDC,24,2,2,,,,,,,
2025-02-17,605,,5751664,SERTRALINE HCL CP 200MG 30,19,Product in Quarantine - FDC,24,5,5,,,,,,,
2025-02-17,602,,4536033,ENLYTE GC 30 SFG W/DELTAFOL,16,Product in Blocked - FDC,24,6,6,,,,,,,
2025-02-17,625,,5673066,STMCH RLF LQ525MG/15ML237ML AF SF,26,Product in Blocked - FDC,24,1,1,,,,,,,
2025-02-17,625,,5817515,ISOSORBIDE DINIT TB 10MG 100,10,Product in Blocked - FDC,24,3,3,,,,,,,
2025-02-17,627,,5905989,HC/ACETIC ACID DR 2-1% 10ML OTIC,18,Product in Quarantine - FDC,24,2,2,,,,,,,
2025-02-17,633,,5548532,POTASSIUM CL TB 8MEQ 100 ER,26,Product in Blocked - FDC,24,6,6,,,,,,,
2025-02-17,633,,5548532,POTASSIUM CL TB 8MEQ 100 ER,15,Product in Blocked - FDC,24,7,7,,,,,,,
2025-02-17,633,,5652326,SODIUM FL 5000 PS 1.1% 100ML FRT,16,Product in Blocked - FDC,24,4,4,,,,,,,
2025-02-17,645,,3592359,MUCINEX DM TB 600-30MG 40,11,Product in Blocked - FDC,24,8,8,,,,,,,
2025-02-17,645,,4141446,SUMMERS EVE AR 2OZ ISL SPL,10,Product in Blocked - FDC,24,2,2,,,,,,,
2025-02-17,633,,5701586,SODIUM FL 5000 PS 1.1% 100ML DMTH,11,Product in Blocked - FDC,24,10,10,,,,,,,
2025-02-17,641,,5773577,KLEENEX FCL/TIS 120 WHITE,18,Product in Blocked - FDC,24,2,7,,,,,,,
2025-02-17,633,,4951075,DONEPEZIL HCL ODT TD 10MG 30,16,Product in Blocked - FDC,19,4,4,,,,,,,
2025-02-17,601,,5494018,XYOSTED SY 100MG/0.5ML 4X0.5ML C3,3,Product in Quarantine - FDC,18,1,2,,,,,,,
2025-02-17,604,,5858022,SUFLAVE KT 2X188.73GM PWD,64,Product in Blocked - FDC,18,15,24,,,,,,,
2025-02-17,645,,3962636,SUSTENEX CP 30 VCP,16,Product in Blocked - FDC,18,1,2,,,,,,,
2025-02-17,645,,4957726,PHAZYME GC 250MG 12 SFG BPK,11,Product in Blocked - FDC,18,3,3,,,,,,,
2025-02-17,645,,4148649,EZY DOSE TRV/P CTR 7D AMPM,15,Product in Blocked - FDC,18,7,7,,,,,,,
2025-02-17,648,,3313269,F/S RC WCR-20 150,28,Product in Blocked - FDC,18,1,1,,,,,,,
2025-02-17,605,,5009444,JARDIANCE TB 10MG 30,11,Product in Blocked - FDC,16,6,7,,,,,,,
2025-02-17,624,,5730981,SEVELAMER CARBONATE TB800MG9X10UD,16,Product in Quarantine - FDC,15,3,3,,,,,,,
2025-02-17,627,,5677539,TRAZODONE HCL TB 50MG 1000,9,Product in Blocked - FDC,15,1,1,,,,,,,
2025-02-17,647,,2960896,SURGICEL FIBRLR PA 4X4N 10 HMST,43,Product in Blocked - FDC,13,12,12,,,,,,,
2025-02-17,645,,3335189,CHLORASEPTIC SN 1.4% 20ML PKT PMP,11,Product in Blocked - FDC,12,10,10,,,,,,,
2025-02-17,645,,3561859,MACKS WAX AWAY-RMVL SYSTEM KT,10,Product in Blocked - FDC,12,2,2,,,,,,,
2025-02-17,644,,4441770,CERAVE MOISTURIZING LT 12OZ,28,Product in Blocked - FDC,12,5,5,,,,,,,
2025-02-17,648,,2807899,TAMPAX TM 10 REGULAR,11,Product in Blocked - FDC,12,1,1,,,,,,,
2025-02-17,654,,5139043,NADS NOSE WAX 12GM,64,Product in Blocked - FDC,12,6,6,,,,,,,
