Process Date,Buyer,Supplier,CIN,Item Desc,RCA,Blocked Qty,Short Qty,Order Qty,PROCESS_DATE,BUYER_NUMBER,SUPPLIER_NUM,CIN_DESC,BLOCKED_QTY,SHORT_QTY,ORDER_QTY
2025-02-17,627,,5799267,FULVESTRANT SY 50MG/ML 2X5ML PFS,Product in Blocked - NLC,1932,3,3,,,,,,,
2025-02-17,627,,5799267,FULVESTRANT SY 50MG/ML 2X5ML PFS,Product in Blocked - NLC,1932,3,3,,,,,,,
2025-02-17,627,,5799267,FULVESTRANT SY 50MG/ML 2X5ML PFS,Product in Blocked - NLC,1932,4,4,,,,,,,
2025-02-17,627,,5799267,FULVESTRANT SY 50MG/ML 2X5ML PFS,Product in Blocked - NLC,1932,9,9,,,,,,,
2025-02-17,627,,5799267,FULVESTRANT SY 50MG/ML 2X5ML PFS,Product in Blocked - NLC,1932,1,1,,,,,,,
2025-02-17,601,,5888219,INS GLARGINE-YFGN SY100U/ML 5X3ML,Product in Blocked - FDC,1080,96,96,,,,,,,
2025-02-17,622,,5792932,TRANEXAMIC AC SF 100MG/ML 10X10ML,Product in Quarantine - NLC,811,1,1,,,,,,,
2025-02-17,622,,5792932,TRANEXAMIC AC SF 100MG/ML 10X10ML,Product in Quarantine - NLC,811,2,2,,,,,,,
2025-02-17,622,,5792932,TRANEXAMIC AC SF 100MG/ML 10X10ML,Product in Quarantine - NLC,811,3,3,,,,,,,
2025-02-17,622,,5792932,TRANEXAMIC AC SF 100MG/ML 10X10ML,Product in Quarantine - NLC,811,5,6,,,,,,,
2025-02-17,622,,5792932,TRANEXAMIC AC SF 100MG/ML 10X10ML,Product in Quarantine - NLC,811,5,5,,,,,,,
2025-02-17,622,,5792932,TRANEXAMIC AC SF 100MG/ML 10X10ML,Product in Quarantine - NLC,811,18,18,,,,,,,
2025-02-17,622,,4837076,DIPRIVAN SF 10MG/ML 10X20ML,Product in Blocked - FDC,504,56,60,,,,,,,
2025-02-17,633,,5026174,HYDROCOD/AP TB 7.5-325MG 100   C2,Product in Blocked - FDC,480,10,10,,,,,,,
2025-02-17,602,,5808621,AUVELITY TB 45-105MG 30,Product in Blocked - FDC,395,63,63,,,,,,,
2025-02-17,640,,5781216,OMNIPOD 5 PODS 5 PACK,Product in Blocked - FDC,390,264,264,,,,,,,
2025-02-17,645,,3990033,MUCINEX D TB 1200-120MG 24 IR/ER,Product in Blocked - FDC,336,32,32,,,,,,,
2025-02-17,645,,3643442,MUCINEX D TB 600-60MG 18 ER,Product in Blocked - FDC,312,50,50,,,,,,,
2025-02-17,632,,5552203,BRIMONIDINE TART DR 0.2%10ML OPTH,Product in Blocked - FDC,291,4,4,,,,,,,
2025-02-17,648,,5876115,LDR MAGNESIUM CIT SL 296ML LMN,Product in Blocked - FDC,228,17,17,,,,,,,
2025-02-17,645,,3643459,MUCINEX D TB 600-60MG 36 ER,Product in Blocked - FDC,192,33,33,,,,,,,
2025-02-17,633,,5861976,ROCURONIUM MD 10MG/ML 10X5ML,Product in Blocked - FDC,190,8,8,,,,,,,
2025-02-17,648,,5577325,SUDAFED SIN/CONG 12H TB 120MG 10,Product in Blocked - FDC,168,3,3,,,,,,,
2025-02-17,628,,5883160,COCAINE HCL SL 4% 4ML          C2,Product in Quarantine - FDC,168,1,1,,,,,,,
2025-02-17,645,,5801121,RICOLA LZ 2MG 24 HNY HRB,Product in Blocked - FDC,144,4,4,,,,,,,
2025-02-17,601,,5888227,SEMGLEE SY 100U/ML 5X3ML,Product in Blocked - FDC,144,22,22,,,,,,,
2025-02-17,625,,5555982,FLUTICASONE PROP SN 50MCG 15.8ML,Product in Blocked - FDC,96,5,5,,,,,,,
2025-02-17,645,,3459377,MUCINEX TB 600MG 20,Product in Blocked - FDC,96,5,5,,,,,,,
2025-02-17,645,,5801139,RICOLA LZ 1.7MG 19 BRY,Product in Blocked - FDC,96,5,5,,,,,,,
2025-02-17,639,,3803608,BV MAGNESIUM OXIDE TB 400MG 120,Product in Blocked - FDC,96,87,87,,,,,,,
2025-02-17,639,,5350483,PUREMARK VITAMIN D CP 2000IU 60,Product in Blocked - FDC,84,5,5,,,,,,,
2025-02-17,645,,3592367,MUCINEX DM TB 600-30MG 20,Product in Blocked - FDC,72,2,2,,,,,,,
2025-02-17,633,,5542923,VERAPAMIL HCL ER TB240MG 100 CPLT,Product in Blocked - FDC,72,1,1,,,,,,,
2025-02-17,625,,5062849,HYDROCHLOROTHIAZIDE TB 25MG 1000,Product in Blocked - FDC,72,3,3,,,,,,,
2025-02-17,627,,3725660,PRAVASTATIN TB 10MG 90,Product in Blocked - FDC,72,1,1,,,,,,,
2025-02-17,601,,5494018,XYOSTED SY 100MG/0.5ML 4X0.5ML C3,Product in Quarantine - FDC,72,1,1,,,,,,,
2025-02-17,627,,5502893,CIPROFLOXACIN DR 0.3% 2.5ML OPTH,Product in Blocked - FDC,71,50,50,,,,,,,
2025-02-17,624,,5516646,AZITHROMYCIN TB250MG 6UD BPK CPLT,Product in Blocked - FDC,70,9,9,,,,,,,
2025-02-17,606,,5245980,TRINTELLIX TB 10MG 30,Product in Blocked - FDC,67,24,24,,,,,,,
2025-02-17,648,,5809595,DIPHENHYDRAMINE CP 25MG 100,Product in Blocked - FDC,61,1,1,,,,,,,
2025-02-17,602,,5340716,VIVOTIF CP 4 BPK PF,Product in Blocked - FDC,54,7,7,,,,,,,
2025-02-17,625,,5718523,POVIDONE IODINE OI 10% 28.4GM,Product in Blocked - FDC,48,2,2,,,,,,,
2025-02-17,625,,5714449,OSELTAMIVIR PHOS PT 6MG/ML 60ML,Product in Quarantine - FDC,48,18,18,,,,,,,
2025-02-17,625,,5673066,STMCH RLF LQ525MG/15ML237ML AF SF,Product in Blocked - FDC,48,4,4,,,,,,,
2025-02-17,648,,5811708,NASONEX SN 50MCG 10ML 24HR ALG,Product in Blocked - FDC,48,1,1,,,,,,,
2025-02-17,645,,5582085,HIMALAYAN NETI SALT PK 60,Product in Blocked - FDC,48,1,1,,,,,,,
2025-02-17,628,,5694385,LUBIPROSTONE GC 24MCG 60 SFG,Product in Blocked - FDC,48,1,1,,,,,,,
2025-02-17,633,,5548532,POTASSIUM CL TB 8MEQ 100 ER,Product in Blocked - FDC,48,1,1,,,,,,,
2025-02-17,632,,5660055,DESONIDE CR 0.05% 15GM,Product in Blocked - FDC,48,1,1,,,,,,,
2025-02-17,602,,3334042,TRI-LUMA CR 0.01-4-0.05% 30GM,Product in Quarantine - FDC,47,3,3,,,,,,,
2025-02-17,633,,2728731,LIDOCAINE HCL SF 2% 10X5ML,Product in Blocked - FDC,45,7,7,,,,,,,
2025-02-17,625,,5305768,TROSPIUM CHLORIDE TB 20MG 60,Product in Blocked - FDC,43,8,8,,,,,,,
2025-02-17,641,,5789243,LDR TM COQ-10 GC 100MG 108 SFG,Product in Blocked - FDC,41,3,3,,,,,,,
2025-02-17,640,,5822887,DEXCOM G7 SENSOR KT,Product in Blocked - FDC,40,5,5,,,,,,,
2025-02-17,628,,4809851,LAMOTRIGINE ER TB 250MG 30,Product in Blocked - FDC,36,5,5,,,,,,,
2025-02-17,625,,5588355,SEVELAMER CARBONATE TB800MG5X10UD,Product in Blocked - FDC,36,2,2,,,,,,,
2025-02-17,617,,5911300,VASOPRESSIN IP 20U/100ML 12X100ML,Product in Blocked - FDC,36,4,4,,,,,,,
2025-02-17,647,,1136688,BD SHARPS COLL 1.5QT PHLEB,Product in Blocked - FDC,33,1,1,,,,,,,
2025-02-17,627,,3926722,HEPARIN IV FLUSH SY 10U60X5ML PFL,Product in Blocked - FDC,32,6,6,,,,,,,
